	activity	bonus_credit_eligibility	country	currency_exchange_loss_amount	delinquent	disbursal_amount	funded_amount	id	lender_count	loan_amount	loss_liability	paid_amount	repayment_term	sector	status	avg_invitee_count	avg_loan_count	country_count	fund_yr
32	Food Production/Sales	True	Mexico	N/A	False	1500.0	1500	2202	32	1500	partner	1500.0	15.0	Food	paid	N/A	N/A	N/A	2006.0
33	Dairy	False	Kenya	N/A	True	2000.0	2000	2333	33	2000	lender	N/A	18.0	Agriculture	defaulted	N/A	N/A	N/A	2006.0
34	Shoe Sales	False	Ecuador	N/A	False	600.0	600	2468	20	600	partner	600.0	8.0	Retail	paid	N/A	N/A	N/A	2006.0
35	Crafts	False	Togo	N/A	False	1200.0	1200	2548	32	1200	partner	1200.0	15.0	Arts	paid	N/A	N/A	N/A	2006.0
36	Farming	False	Kenya	N/A	True	600.0	600	2571	11	600	lender	N/A	12.0	Agriculture	defaulted	N/A	N/A	N/A	2006.0
37	General Store	False	Togo	N/A	False	750.0	750	2596	13	750	partner	750.0	13.0	Retail	paid	N/A	N/A	N/A	2006.0
38	Fuel/Firewood	False	Uganda	N/A	False	350.0	350	2652	9	350	partner	350.0	12.0	Retail	paid	N/A	N/A	N/A	2006.0
39	General Store	False	Tanzania	N/A	False	400.0	400	2757	13	400	partner	400.0	5.0	Retail	paid	N/A	N/A	N/A	2006.0
40	Barber Shop	False	Ghana	N/A	False	1125.0	1125	2794	20	1125	partner	1125.0	11.0	Services	paid	N/A	N/A	N/A	2006.0
41	Retail	False	Mexico	N/A	False	925.0	925	2870	19	925	partner	925.0	8.0	Retail	paid	N/A	N/A	N/A	2006.0
42	Soft Drinks	False	Togo	N/A	False	900.0	900	3097	18	900	partner	900.0	18.0	Food	paid	N/A	N/A	N/A	2006.0
43	Grocery Store	False	Togo	N/A	False	950.0	950	3105	15	950	partner	950.0	18.0	Food	paid	N/A	N/A	N/A	2006.0
44	Beauty Salon	False	Tanzania	N/A	False	550.0	550	3247	4	550	partner	550.0	6.0	Services	paid	N/A	N/A	N/A	2006.0
45	Food Production/Sales	False	Mexico	N/A	False	925.0	925	3257	24	925	partner	925.0	9.0	Food	paid	N/A	N/A	N/A	2007.0
46	Clothing Sales	False	Togo	N/A	False	1200.0	1200	3373	31	1200	partner	1200.0	14.0	Clothing	paid	N/A	N/A	N/A	2007.0
47	Cafe	False	Azerbaijan	N/A	False	600.0	600	3649	13	600	partner	600.0	15.0	Food	paid	N/A	N/A	N/A	2007.0
48	Animal Sales	False	Azerbaijan	N/A	False	1200.0	1200	3794	28	1200	partner	1200.0	16.0	Agriculture	paid	N/A	N/A	N/A	2007.0
49	General Store	False	Kenya	N/A	True	150.0	150	3811	4	150	lender	N/A	13.0	Retail	defaulted	N/A	N/A	N/A	2007.0
50	Butcher Shop	False	Azerbaijan	N/A	False	800.0	800	3871	19	800	partner	800.0	15.0	Food	paid	N/A	N/A	N/A	2007.0
51	Food Production/Sales	False	Kenya	N/A	True	750.0	750	3876	16	750	lender	N/A	13.0	Food	defaulted	N/A	N/A	N/A	2007.0
52	Crafts	False	Togo	N/A	False	700.0	700	4011	18	700	partner	700.0	14.0	Arts	paid	N/A	N/A	N/A	2007.0
53	Poultry	False	Azerbaijan	N/A	False	600.0	600	4192	11	600	partner	600.0	16.0	Agriculture	paid	N/A	N/A	N/A	2007.0
54	Services	False	Mexico	N/A	False	650.0	650	4331	17	650	partner	650.0	8.0	Services	paid	N/A	N/A	N/A	2007.0
55	Used Clothing	True	Mexico	N/A	False	800.0	800	4347	12	800	partner	800.0	14.0	Clothing	paid	N/A	N/A	N/A	2007.0
56	Food Market	False	Togo	N/A	False	700.0	700	4356	20	700	partner	700.0	16.0	Food	paid	N/A	N/A	N/A	2007.0
57	Retail	False	Togo	N/A	False	750.0	750	4458	16	750	partner	750.0	15.0	Retail	paid	N/A	N/A	N/A	2007.0
58	Soft Drinks	False	Togo	N/A	False	700.0	700	4463	19	700	partner	700.0	17.0	Food	paid	N/A	N/A	N/A	2007.0
59	Tailoring	False	Afghanistan	N/A	False	175.0	175	4562	4	175	partner	175.0	11.0	Services	paid	N/A	N/A	N/A	2007.0
60	Clothing Sales	False	Kenya	N/A	False	500.0	500	4641	11	500	partner	500.0	9.0	Clothing	paid	N/A	N/A	N/A	2007.0
61	Electronics Sales	False	Azerbaijan	N/A	False	1000.0	1000	4735	18	1000	partner	1000.0	16.0	Retail	paid	N/A	N/A	N/A	2007.0
62	Dairy	False	Kenya	N/A	True	300.0	300	4763	3	300	lender	N/A	13.0	Agriculture	defaulted	N/A	N/A	N/A	2007.0
63	Mobile Phones	False	Azerbaijan	N/A	False	1200.0	1200	4802	28	1200	partner	1200.0	14.0	Retail	paid	N/A	N/A	N/A	2007.0
64	General Store	False	Kenya	N/A	True	175.0	175	4848	5	175	lender	N/A	11.0	Retail	defaulted	N/A	N/A	N/A	2007.0
65	Phone Use Sales	False	Kenya	N/A	True	1200.0	1200	4940	21	1200	lender	N/A	13.0	Retail	defaulted	N/A	N/A	N/A	2007.0
66	Food Production/Sales	False	Samoa	N/A	False	775.0	775	5023	12	775	partner	775.0	14.0	Food	paid	N/A	N/A	N/A	2007.0
67	Decorations Sales	False	Azerbaijan	N/A	False	1200.0	1200	5070	29	1200	partner	1200.0	17.0	Retail	paid	N/A	N/A	N/A	2007.0
68	Retail	False	Kenya	N/A	True	12201.12	175	5143	5	175	lender	N/A	13.0	Retail	defaulted	N/A	N/A	N/A	2007.0
69	Construction	False	Ghana	N/A	False	1000.0	1000	5247	24	1000	partner	1000.0	12.0	Construction	paid	N/A	N/A	N/A	2007.0
70	Food Market	False	Ghana	N/A	False	950.0	950	5252	25	950	partner	950.0	12.0	Food	paid	N/A	N/A	N/A	2007.0
71	Home Products Sales	False	Ecuador	N/A	False	375.0	375	5267	10	375	partner	375.0	8.0	Retail	paid	N/A	N/A	N/A	2007.0
72	Food Market	False	Dominican Republic	N/A	False	750.0	750	5343	18	750	partner	750.0	8.0	Food	paid	N/A	N/A	N/A	2007.0
73	Vehicle Repairs	False	Azerbaijan	N/A	False	1175.0	1175	5386	30	1175	partner	1175.0	16.0	Services	paid	N/A	N/A	N/A	2007.0
74	Farming	False	Azerbaijan	N/A	False	1000.0	1000	5400	27	1000	partner	1000.0	17.0	Agriculture	paid	N/A	N/A	N/A	2007.0
75	Restaurant	False	Ghana	N/A	False	750.0	750	5420	23	750	partner	750.0	12.0	Food	paid	N/A	N/A	N/A	2007.0
76	Cattle	False	Togo	N/A	False	1200.0	1200	5644	5	1200	partner	1200.0	17.0	Agriculture	paid	N/A	N/A	N/A	2007.0
77	Vehicle Repairs	False	Togo	N/A	False	800.0	800	5645	6	800	partner	800.0	14.0	Services	paid	N/A	N/A	N/A	2007.0
78	Food Production/Sales	False	Togo	N/A	False	800.0	800	5648	9	800	partner	800.0	14.0	Food	paid	N/A	N/A	N/A	2007.0
79	Food Market	False	Togo	N/A	False	750.0	750	5653	12	750	partner	750.0	14.0	Food	paid	N/A	N/A	N/A	2007.0
80	Printing	False	Kenya	N/A	True	1050.0	1050	5713	15	1050	lender	N/A	18.0	Services	defaulted	N/A	N/A	N/A	2007.0
81	Food Production/Sales	False	Samoa	N/A	False	850.0	850	5760	16	850	partner	850.0	15.0	Food	paid	N/A	N/A	N/A	2007.0
82	Clothing Sales	False	Kenya	N/A	True	1200.0	1200	5825	17	1200	lender	N/A	19.0	Clothing	defaulted	N/A	N/A	N/A	2007.0
83	Agriculture	False	Togo	N/A	False	950.0	950	5878	27	950	partner	950.0	18.0	Agriculture	paid	N/A	N/A	N/A	2007.0
84	Sporting Good Sales	False	Samoa	N/A	False	650.0	650	6133	15	650	partner	650.0	15.0	Retail	paid	N/A	N/A	N/A	2007.0
85	Food Production/Sales	False	Ghana	N/A	False	700.0	700	6382	8	700	partner	700.0	11.0	Food	paid	N/A	N/A	N/A	2007.0
86	General Store	False	Samoa	N/A	False	900.0	900	6455	25	900	partner	900.0	14.0	Retail	paid	N/A	N/A	N/A	2007.0
87	Used Clothing	False	Cameroon	N/A	False	800.0	800	6522	9	800	partner	800.0	20.0	Clothing	paid	N/A	N/A	N/A	2007.0
88	General Store	False	Tanzania	N/A	False	1000.0	1000	6546	9	1000	partner	1000.0	15.0	Retail	paid	N/A	N/A	N/A	2007.0
89	Bakery	False	Nigeria	N/A	False	800.0	800	6726	14	800	partner	800.0	11.0	Food	paid	N/A	N/A	N/A	2007.0
90	Plastics Sales	False	Nigeria	N/A	False	500.0	500	6733	2	500	partner	500.0	11.0	Retail	paid	N/A	N/A	N/A	2007.0
91	Clothing Sales	True	Ukraine	N/A	False	1000.0	1000	6859	31	1000	partner	1000.0	9.0	Clothing	paid	N/A	N/A	N/A	2007.0
92	Food Market	False	Honduras	N/A	False	500.0	500	6954	18	500	partner	500.0	15.0	Food	paid	N/A	N/A	N/A	2007.0
93	Quarrying	False	Uganda	N/A	False	150.0	150	7005	5	150	partner	150.0	8.0	Construction	paid	N/A	N/A	N/A	2007.0
94	Food Production/Sales	False	Ecuador	N/A	False	1075.0	1075	7040	32	1075	partner	1075.0	15.0	Food	paid	N/A	N/A	N/A	2007.0
95	General Store	False	Senegal	N/A	False	1200.0	1200	7115	2	1200	partner	1200.0	17.0	Retail	paid	N/A	N/A	N/A	2007.0
96	Vehicle Repairs	False	Azerbaijan	N/A	False	800.0	800	7165	24	800	partner	800.0	15.0	Services	paid	N/A	N/A	N/A	2007.0
97	Shoe Sales	False	Mexico	N/A	False	650.0	650	7247	1	650	partner	650.0	8.0	Retail	paid	N/A	N/A	N/A	2007.0
98	Cattle	False	Azerbaijan	N/A	False	800.0	800	7273	17	800	partner	800.0	14.0	Agriculture	paid	N/A	N/A	N/A	2007.0
99	Party Supplies	False	Honduras	N/A	False	200.0	200	7294	4	200	partner	200.0	8.0	Retail	paid	N/A	N/A	N/A	2007.0
100	General Store	False	Indonesia	N/A	False	50.0	50	7480	2	50	partner	50.0	14.0	Retail	paid	N/A	N/A	N/A	2007.0
101	Food Production/Sales	False	Indonesia	N/A	False	50.0	50	7583	2	50	partner	50.0	14.0	Food	paid	N/A	N/A	N/A	2007.0
102	Home Products Sales	False	Indonesia	N/A	False	50.0	0	7590	0	50	partner	N/A	N/A	Retail	deleted	N/A	N/A	N/A	N/A
103	Fish Selling	True	Cambodia	N/A	False	400.0	400	7611	7	400	partner	400.0	20.0	Food	paid	N/A	N/A	N/A	2007.0
104	Farming	False	Azerbaijan	N/A	False	500.0	500	7705	15	500	partner	500.0	15.0	Agriculture	paid	N/A	N/A	N/A	2007.0
105	Butcher Shop	False	Kenya	N/A	True	400.0	400	7712	14	400	lender	N/A	9.0	Food	defaulted	N/A	N/A	N/A	2007.0
106	Fish Selling	False	Kenya	N/A	True	400.0	400	7718	8	400	lender	N/A	9.0	Food	defaulted	N/A	N/A	N/A	2007.0
107	Arts	False	Kenya	N/A	True	300.0	300	7774	9	300	lender	N/A	12.0	Arts	defaulted	N/A	N/A	N/A	2007.0
108	Restaurant	False	Kenya	N/A	True	450.0	450	7831	8	450	lender	N/A	12.0	Food	defaulted	N/A	N/A	N/A	2007.0
109	Food Market	False	Azerbaijan	N/A	False	500.0	500	7950	8	500	partner	500.0	15.0	Food	paid	N/A	N/A	N/A	2007.0
110	Home Products Sales	False	Ghana	N/A	False	800.0	800	7954	16	800	partner	800.0	13.0	Retail	paid	N/A	N/A	N/A	2007.0
111	Retail	True	Bolivia	N/A	False	700.0	700	8009	12	700	partner	700.0	20.0	Retail	paid	N/A	N/A	N/A	2007.0
112	Farming	False	Ecuador	N/A	True	550.0	550	8060	3	550	lender	N/A	8.0	Agriculture	defaulted	N/A	N/A	N/A	2007.0
113	Food Production/Sales	False	Samoa	N/A	False	850.0	850	8152	18	850	partner	850.0	18.0	Food	paid	N/A	N/A	N/A	2007.0
114	Livestock	False	Afghanistan	N/A	False	225.0	225	8185	9	225	partner	225.0	10.0	Agriculture	paid	N/A	N/A	N/A	2007.0
115	Soft Drinks	False	Nigeria	N/A	False	400.0	400	8429	10	400	partner	400.0	10.0	Food	paid	N/A	N/A	N/A	2007.0
116	Vehicle Repairs	False	Afghanistan	N/A	False	600.0	600	8586	21	600	partner	600.0	11.0	Services	paid	N/A	N/A	N/A	2007.0
117	Vehicle Repairs	True	Cambodia	N/A	False	300.0	300	8596	5	300	partner	300.0	14.0	Services	paid	N/A	N/A	N/A	2007.0
118	Clothing Sales	True	Mexico	N/A	False	1200.0	1200	8704	19	1200	partner	1200.0	15.0	Clothing	paid	N/A	N/A	N/A	2007.0
119	Grocery Store	False	Kenya	N/A	True	400.0	400	8742	10	400	lender	N/A	9.0	Food	defaulted	N/A	N/A	N/A	2007.0
120	Clothing Sales	False	Azerbaijan	N/A	False	1200.0	1200	8819	34	1200	partner	1200.0	14.0	Clothing	paid	N/A	N/A	N/A	2007.0
121	Food Production/Sales	False	Samoa	N/A	False	1200.0	1200	8890	41	1200	partner	1200.0	18.0	Food	paid	N/A	N/A	N/A	2007.0
122	Bakery	False	Samoa	N/A	False	1200.0	1200	8899	28	1200	partner	1200.0	14.0	Food	paid	N/A	N/A	N/A	2007.0
123	Bricks	False	Samoa	N/A	False	1200.0	1200	8970	28	1200	partner	1200.0	20.0	Construction	paid	N/A	N/A	N/A	2007.0
124	Bakery	False	Samoa	N/A	False	850.0	850	8986	10	850	partner	850.0	19.0	Food	paid	N/A	N/A	N/A	2007.0
125	Crafts	False	Samoa	N/A	False	850.0	850	9047	26	850	partner	850.0	21.0	Arts	paid	N/A	N/A	N/A	2007.0
126	Farming	False	Samoa	N/A	False	1200.0	1200	9085	13	1200	partner	1200.0	19.0	Agriculture	paid	N/A	N/A	N/A	2007.0
127	General Store	False	Mozambique	N/A	False	600.0	600	9199	16	600	partner	600.0	9.0	Retail	paid	N/A	N/A	N/A	2007.0
128	Poultry	False	Mozambique	N/A	False	400.0	400	9200	11	400	partner	400.0	12.0	Agriculture	paid	N/A	N/A	N/A	2007.0
129	Grocery Store	True	Mexico	N/A	False	1200.0	1200	9215	23	1200	partner	1200.0	15.0	Food	paid	N/A	N/A	N/A	2007.0
130	Tailoring	True	Cambodia	N/A	False	600.0	0	9324	9	600	lender	N/A	15.0	Services	refunded	N/A	N/A	N/A	2007.0
131	Arts	False	Kenya	N/A	True	150.0	150	9350	4	150	lender	N/A	15.0	Arts	defaulted	N/A	N/A	N/A	2007.0
132	Food Production/Sales	False	Nicaragua	N/A	False	750.0	0	9465	16	750	lender	N/A	15.0	Food	refunded	N/A	N/A	N/A	2007.0
133	Shoe Sales	False	Kenya	N/A	True	750.0	750	9476	24	750	lender	N/A	19.0	Retail	defaulted	N/A	N/A	N/A	2007.0
134	Food Market	False	Nigeria	N/A	False	550.0	550	9512	14	550	partner	550.0	11.0	Food	paid	N/A	N/A	N/A	2007.0
135	Food Market	False	Afghanistan	N/A	False	175.0	175	9550	2	175	partner	175.0	11.0	Food	paid	N/A	N/A	N/A	2007.0
136	Beauty Salon	False	Kenya	N/A	True	800.0	800	9615	15	800	lender	N/A	18.0	Services	defaulted	N/A	N/A	N/A	2007.0
137	Cosmetics Sales	False	Mexico	N/A	False	925.0	925	9735	26	925	partner	925.0	8.0	Retail	paid	N/A	N/A	N/A	2007.0
138	Shoe Sales	True	Cambodia	N/A	False	1000.0	1000	9843	26	1000	partner	1000.0	14.0	Retail	paid	N/A	N/A	N/A	2007.0
139	Bakery	False	Afghanistan	N/A	False	175.0	175	10011	5	175	partner	175.0	10.0	Food	paid	N/A	N/A	N/A	2007.0
140	Food Production/Sales	True	Azerbaijan	N/A	False	600.0	600	10017	17	600	partner	600.0	18.0	Food	paid	N/A	N/A	N/A	2007.0
141	Bakery	True	Cambodia	N/A	False	250.0	250	10052	6	250	partner	250.0	14.0	Food	paid	N/A	N/A	N/A	2007.0
142	Farming	True	Cambodia	N/A	False	350.0	350	10068	12	350	partner	350.0	14.0	Agriculture	paid	N/A	N/A	N/A	2007.0
143	Food Production/Sales	False	Mexico	N/A	False	475.0	475	10087	12	475	partner	475.0	9.0	Food	paid	N/A	N/A	N/A	2007.0
144	Retail	False	Tajikistan	N/A	False	500.0	500	10161	15	500	partner	500.0	8.0	Retail	paid	N/A	N/A	N/A	2007.0
145	Food Production/Sales	False	Kenya	N/A	True	16798.5	250	10178	1	250	lender	N/A	11.0	Food	defaulted	N/A	N/A	N/A	2007.0
146	Food Production/Sales	False	Indonesia	N/A	False	50.0	50	10249	2	50	partner	50.0	4.0	Food	paid	N/A	N/A	N/A	2007.0
147	Clothing Sales	False	Tajikistan	N/A	False	800.0	800	10383	20	800	partner	800.0	13.0	Clothing	paid	N/A	N/A	N/A	2007.0
148	Clothing Sales	False	Ecuador	N/A	False	375.0	375	10509	6	375	partner	375.0	9.0	Clothing	paid	N/A	N/A	N/A	2007.0
149	Photography	False	Ecuador	N/A	False	375.0	375	10517	7	375	partner	375.0	9.0	Services	paid	N/A	N/A	N/A	2007.0
150	Butcher Shop	False	Afghanistan	N/A	False	1025.0	1025	10757	22	1025	partner	1025.0	11.0	Food	paid	N/A	N/A	N/A	2007.0
151	Farming	False	Kenya	N/A	True	900.0	900	10761	23	900	lender	N/A	13.0	Agriculture	defaulted	N/A	N/A	N/A	2007.0
152	Patchwork	False	Mexico	N/A	False	575.0	575	10797	12	575	partner	575.0	11.0	Arts	paid	N/A	N/A	N/A	2007.0
153	Plastics Sales	False	Honduras	N/A	False	250.0	250	10835	8	250	partner	250.0	7.0	Retail	paid	N/A	N/A	N/A	2007.0
154	Food Production/Sales	False	Kenya	N/A	False	600.0	600	11111	18	600	partner	600.0	14.0	Food	paid	N/A	N/A	N/A	2007.0
155	Food Production/Sales	False	Honduras	N/A	False	250.0	250	11140	8	250	partner	250.0	15.0	Food	paid	N/A	N/A	N/A	2007.0
156	Blacksmith	True	Cambodia	N/A	False	500.0	500	11176	12	500	partner	500.0	20.0	Manufacturing	paid	N/A	N/A	N/A	2007.0
157	Clothing Sales	False	Indonesia	N/A	False	75.0	75	11234	1	75	partner	75.0	14.0	Clothing	paid	N/A	N/A	N/A	2007.0
158	Food Production/Sales	True	Paraguay	N/A	False	600.0	600	11258	10	600	partner	600.0	11.0	Food	paid	N/A	N/A	N/A	2007.0
159	Food Production/Sales	False	Indonesia	N/A	False	75.0	75	11278	3	75	partner	75.0	14.0	Food	paid	N/A	N/A	N/A	2007.0
160	Home Products Sales	False	Ecuador	N/A	False	375.0	375	11358	10	375	partner	375.0	8.0	Retail	paid	N/A	N/A	N/A	2007.0
161	Restaurant	False	Togo	N/A	False	1000.0	1000	11541	14	1000	partner	1000.0	16.0	Food	paid	N/A	N/A	N/A	2007.0
162	Cosmetics Sales	False	Mexico	N/A	False	650.0	650	11566	6	650	partner	650.0	8.0	Retail	paid	N/A	N/A	N/A	2007.0
163	Personal Housing Expenses	False	Cameroon	N/A	False	600000.0	1200	11577	31	1200	lender	1200.0	20.0	Housing	paid	N/A	N/A	N/A	2007.0
164	Construction	False	Uganda	N/A	False	150.0	150	11613	6	150	partner	150.0	5.0	Construction	paid	N/A	N/A	N/A	2007.0
165	Animal Sales	False	Azerbaijan	N/A	False	1200.0	1200	11627	17	1200	partner	1200.0	16.0	Agriculture	paid	N/A	N/A	N/A	2007.0
166	Auto Repair	False	Azerbaijan	N/A	False	900.0	900	11748	25	900	partner	900.0	17.0	Services	paid	N/A	N/A	N/A	2007.0
167	General Store	True	Bolivia	N/A	False	100.0	100	11768	3	100	partner	100.0	12.0	Retail	paid	N/A	N/A	N/A	2007.0
168	Agriculture	False	Ecuador	N/A	False	950.0	950	11782	1	950	lender	950.0	8.0	Agriculture	paid	N/A	N/A	N/A	2007.0
169	Food Market	False	Cote D'Ivoire	N/A	False	750.0	750	11792	20	750	partner	750.0	14.0	Food	paid	N/A	N/A	N/A	2007.0
170	Cattle	True	Azerbaijan	N/A	False	1200.0	1200	11961	32	1200	partner	1200.0	20.0	Agriculture	paid	N/A	N/A	N/A	2007.0
171	Food Market	False	Azerbaijan	N/A	False	500.0	500	12035	5	500	partner	500.0	15.0	Food	paid	N/A	N/A	N/A	2007.0
172	Food Production/Sales	False	Honduras	N/A	False	650.0	650	12088	20	650	partner	650.0	10.0	Food	paid	N/A	N/A	N/A	2007.0
173	Agriculture	False	Togo	N/A	False	1000.0	1000	12320	28	1000	partner	1000.0	23.0	Agriculture	paid	N/A	N/A	N/A	2007.0
174	Food Market	False	Chad	N/A	False	375.0	0	12407	12	375	lender	N/A	15.0	Food	refunded	N/A	N/A	N/A	2007.0
175	Patchwork	False	Mexico	N/A	False	950.0	950	12619	18	950	partner	950.0	14.0	Arts	paid	N/A	N/A	N/A	2007.0
176	Recycling	True	Cambodia	N/A	False	300.0	300	12657	5	300	partner	300.0	15.0	Services	paid	N/A	N/A	N/A	2007.0
177	General Store	False	Kenya	N/A	True	1050.0	1050	12662	29	1050	lender	N/A	15.0	Retail	defaulted	N/A	N/A	N/A	2007.0
178	Poultry	True	Vietnam	N/A	False	950.0	950	12808	15	950	partner	950.0	15.0	Agriculture	paid	N/A	N/A	N/A	2007.0
179	Retail	False	Tajikistan	N/A	False	1000.0	1000	12878	22	1000	partner	1000.0	12.0	Retail	paid	N/A	N/A	N/A	2007.0
180	Spare Parts	False	Kenya	N/A	True	450.0	450	12926	11	450	lender	N/A	15.0	Retail	defaulted	N/A	N/A	N/A	2007.0
181	Clothing Sales	False	Kenya	N/A	True	1200.0	1200	12928	17	1200	lender	N/A	15.0	Clothing	defaulted	N/A	N/A	N/A	2007.0
182	Food Production/Sales	True	Vietnam	N/A	False	325.0	325	12953	6	325	partner	325.0	15.0	Food	paid	N/A	N/A	N/A	2007.0
183	Fish Selling	True	Sierra Leone	N/A	False	175.0	175	12969	3	175	partner	175.0	11.0	Food	paid	N/A	N/A	N/A	2007.0
184	Retail	True	Paraguay	N/A	False	200.0	200	13003	2	200	partner	200.0	15.0	Retail	paid	N/A	N/A	N/A	2007.0
185	Construction Supplies	True	Vietnam	N/A	False	1200.0	1200	13015	19	1200	partner	1200.0	15.0	Construction	paid	N/A	N/A	N/A	2007.0
186	Crafts	False	Nepal	N/A	False	175.0	0	13026	0	175	partner	N/A	N/A	Arts	deleted	N/A	N/A	N/A	N/A
187	Cattle	True	Azerbaijan	N/A	False	700.0	0	13112	0	700	partner	N/A	N/A	Agriculture	deleted	N/A	N/A	N/A	N/A
188	Charcoal Sales	False	Uganda	N/A	False	150.0	150	13301	6	150	partner	150.0	9.0	Retail	paid	N/A	N/A	N/A	2007.0
189	Soft Drinks	False	Ecuador	N/A	False	1075.0	1075	13389	5	1075	partner	1075.0	10.0	Food	paid	N/A	N/A	N/A	2007.0
190	Carpentry	False	Mexico	N/A	False	375.0	375	13472	5	375	partner	375.0	5.0	Construction	paid	N/A	N/A	N/A	2007.0
191	Beauty Salon	False	Kenya	N/A	False	550.0	550	13501	9	550	partner	550.0	14.0	Services	paid	N/A	N/A	N/A	2007.0
192	Agriculture	False	Nigeria	N/A	False	450.0	450	13513	13	450	partner	450.0	10.0	Agriculture	paid	N/A	N/A	N/A	2007.0
